otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Kekik Alaçatı Otel Mayko,"9.200,00 TL",9000-11000,Çeşme - Alaçatı ,"90 km, Adnan Menderes ",750 Metre ve Üzeri,Halk Plajı,Yok,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
La Mira Suites,"7.800,00 TL",7000-9000,Çeşme - Alaçatı ,"90 km, Adnan Menderes ",750 Metre ve Üzeri,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
La Siete Hotel,"16.191,90 TL",15000-17000,Antalya - Lara ,"14 km, Antalya ",Denize Sıfır (Aradan Yol Geçiyor),Özel Plaj,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Olympos Village Reluxury Hotel,"16.830,00 TL",15000-17000,Antalya - Olimpos ,"85 km, Antalya ",750 Metre ve Üzeri,Halk Plajı,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0
Örsmaris Boutique Hotel,"9.799,99 TL",9000-11000,Marmaris - Siteler ,"90 km, Dalaman ",Denize Sıfır,Özel Plaj,Yok,1,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
Palmalife Hotel,"23.512,86 TL",23000-25000,Bodrum - Yalıkavak-Gökçebel ,"45 km, Milas ",Denize Sıfır,Özel Plaj,Var,1,1,4,1,1,1,0,3,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0
Sealife Lounge Hotel,"13.500,00 TL",13000-15000,Antalya - Konyaaltı ,"19 km, Antalya HA ",No Info,Halk Plajı,Yok,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Seçkin Best Hotel Bodrum,"9.040,32 TL",9000-11000,Bodrum - Bodrum Merkez ,"40 km, Milas HA ",750 Metre ve Üzeri,Yok,Yok,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Solo Boutique Hotel,"19.200,00 TL",19000-21000,Antalya - Kaleiçi ,"12 km, Antalya HA ",200 - 300 Metre Arası,Halk Plajı,Yok,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Spektr Boutique Hotel Spa,"33.953,76 TL",+33000,Bodrum - Yalıkavak ,"54 km, Milas HA ",400 - 500 Metre Arası,Yok,Yok,1,1,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Mori Club Hotel,"13.850,61 TL",13000-15000,Antalya - Lara-Muratpaşa ,"12 km, Antalya ",100 - 200 Metre Arası,Halk Plajı,Yok,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tu Casa Linda Hotel,"14.919,35 TL",13000-15000,Antalya - Kaleiçi ,"13 km, Antalya HA ",No Info,Halk Plajı,Yok,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Veranda Suites,"9.041,17 TL",9000-11000,Antalya - Lara-Kundu ,"11 km, Antalya ",750 Metre ve Üzeri,Özel Plaj,Yok,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Villa Sonata Hotel,"5.882,48 TL",5000-7000,Antalya - Alanya ,"45 km, Gazipaşa-Alanya HA ",200 - 300 Metre Arası,Yok,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Zübeyde Hanım Otel Alaçatı,"7.200,00 TL",7000-9000,Çeşme - Alaçatı ,"No Info km, No Info",No Info,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afflon Hotels Sea Hill Concept,"16.311,12 TL",15000-17000,Antalya - Muratpaşa ,"15 km, Antalya ",100 - 200 Metre Arası,Halk Plajı,Yok,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Alaroof Butik Otel,"15.000,00 TL",13000-15000,Çeşme - Alaçatı ,"85 km, Adnan Menderes HA ",750 Metre ve Üzeri,Halk Plajı,Yok,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Amour Alaçatı Butik Otel,"23.994,00 TL",23000-25000,Çeşme - Alaçatı ,"70 km, Adnan Menderes HA ",400 - 500 Metre Arası,Yok,Yok,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Casa Luna Hotel Alaçatı,"31.200,00 TL",29000-33000,Çeşme - Alaçatı ,"80 km, Adnan Menderes ",750 Metre ve Üzeri,Yok,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Çeşme Marina Konuk Evi,"30.493,62 TL",29000-31000,Çeşme - Çeşme Merkez ,"93 km, İzmir Adnan Menderes HA ",Uygun Değil,Yok,Yok,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Doğanın Ruhu Otel Bungalow,"10.350,00 TL",9000-11000,Antalya - Kaş ,"230 km, Antalya HA ",No Info,Yok,Yok,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
