otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Mgallery The Bodrum Hotel Yalıkavak,"1.754.202,72 TL",+33000,Bodrum - Yalıkavak ,"53 km, Milas HA ",Denize Sıfır,Özel Plaj,Var,2,1,1,1,1,1,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
Kamelya Aishen K Club,"24.059,70 TL",23000-25000,Antalya - Side-Çolaklı ,"55 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,6,1,9,1,7,2,0,13,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
Trendy Side Beach,"23.400,00 TL",23000-25000,Antalya - Side-Denizbükü ,"65 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,2,1,1,1,1,1,1,2,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0
Oscar Seaside Hotel Spa,"6.750,00 TL",5000-7000,Bodrum - Güvercinlik ,"No Info km, No Info",Denize Sıfır,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayayorgi Hotel By T,"12.276,00 TL",11000-13000,Çeşme - Çeşme Merkez ,"97 km, Adnan Menderes HA ",750 Metre ve Üzeri,Yok,Yok,1,1,1,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Baldan Suites,"110.694,00 TL",+33000,Marmaris - Bozburun ,"130 km, Dalaman HA ",Denize Sıfır,Özel Plaj,Var,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Golden Key Bördübet,"47.994,00 TL",+33000,Marmaris - Bördübet ,"125 km, DalamanHA",500 - 600 Metre Arası,Özel Plaj,Var,2,0,2,0,1,0,0,4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
Adalya Art Side Hotel,"14.641,83 TL",13000-15000,Antalya - Side-Evrenseki ,"60 km, Antalya HA ",300 - 400 Metre Arası,Mavi Bayraklı Özel Plaj,Yok,5,1,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1
Akra Hotel,"23.010,05 TL",23000-25000,Antalya - Lara ,"15 km, Antalya HA ",Denize Sıfır,Özel Plaj,Var,1,1,1,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0
Altın Yunus Hotel Spa – Çeşme,"18.225,00 TL",17000-19000,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annabella Diamond Hotel Spa,"13.770,00 TL",13000-15000,Antalya - Alanya-İncekum ,"60 km, Gazipaşa HA ",Denize Sıfır,Özel Plaj,Yok,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
Aska Lara Resort Spa,"32.140,80 TL",29000-33000,Antalya - Lara-Kundu ,"12 km, Antalya HA ",500 - 600 Metre Arası,Mavi Bayraklı Özel Plaj,Var,5,1,1,1,4,2,1,8,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
Aydınbey King`s Palace Hotel,"36.354,00 TL",+33000,Antalya - Side-Evrenseki ,"60 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,2,1,1,1,3,1,1,6,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Belconti Resort Hotel,"31.356,50 TL",29000-33000,Antalya - Belek-İskele ,"30 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,3,1,2,4,2,1,1,7,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
Blue Marlin Deluxe Spa Resort,"16.848,00 TL",15000-17000,Antalya - Alanya-Konaklı ,"55 km, Gazipaşa HA ",100 - 200 Metre Arası,Özel Plaj,Var,0,1,1,1,2,1,1,4,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
Cape Bodrum Luxury Hotel Beach,"50.400,00 TL",+33000,Bodrum - Gündoğan ,"45 km, Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,2,1,1,1,1,1,1,3,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0
Club Hotel Turan Prince World,"24.960,00 TL",23000-25000,Antalya - Side-Kızılağaç ,"75 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,3,0,1,1,3,1,1,7,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
