otel_ad,fiyat,Predicted Price,Price Difference,Fair Price Range,Fair Price Percentage,bar,a_la_carte_restoran,plaj,acik_havuz,kapali_havuz,fitness,iskele,acik_restoran,sauna,animasyon,kuafor,spa,masa_tenisi,market,su_kaydiragi,beach_voley,doktor,otopark,wireless_internet,sorf,kapali_restoran,kano,cocuk_parki,arac_kiralama,balo_salonu,masaj,cocuk_havuzu,parasut,denize_uzakligi
Swandor Hotels Resort Topkapı Palace,39312.0,16347.6,22964.4,Significantly Overpriced,- 58.42,8,3,2.0,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0.0
Mons Casa Boutique Otel,12000.0,11072.5,927.5,Slight Overpriced,- 7.73,0,0,-1.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
Selene Beach Spa Hotel,21024.0,13220.5,7803.5,Significantly Overpriced,- 37.12,2,1,2.0,1,0,1,,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0.0
Prenses Sealine Beach Hotel,15200.0,11114.2,4085.8,Significantly Overpriced,- 26.88,1,0,-1.0,1,0,0,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,200.0
Adalya Ocean Deluxe,28799.6,14553.2,14246.4,Significantly Overpriced,- 49.47,3,3,2.0,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0.0
Hotel Terrace Beach Resort,17943.1,14235.5,3707.6,Significantly Overpriced,- 20.66,3,2,2.0,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0.0
Moy Side,4800.0,11312.6,-6512.6,Significantly Overpriced (Underpriced),+ 135.68,1,0,-1.0,0,0,0,,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,100.0
Lara Otel,8158.2,13643.8,-5485.6,Significantly Overpriced (Underpriced),+ 67.24,3,2,2.0,1,0,0,,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0.0
Swissotel Büyük Efes İzmir,31304.5,12967.6,18336.9,Significantly Overpriced,- 58.58,1,1,2.0,1,1,1,,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0.0
Kleopatra Royal Palm Hotel,7875.0,13668.3,-5793.3,Significantly Overpriced (Underpriced),+ 73.57,2,1,2.0,2,0,1,,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0.0
Grand Ring Hotel,15600.0,14869.7,730.3,Fair,- 4.68,5,1,2.0,2,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.0
Laren Seaside Hotel Spa,11156.5,12232.0,-1075.5,Slight Overpriced (Underpriced),+ 9.64,0,0,2.0,1,0,1,,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0.0
Adam Eve,31350.0,17498.6,13851.4,Significantly Overpriced,- 44.18,7,7,2.0,5,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0.0
Lara World Hotel,5925.0,11712.5,-5787.5,Significantly Overpriced (Underpriced),+ 97.68,2,0,2.0,1,0,0,,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,200.0
Royal Atlantis Beach,21692.0,14786.2,6905.8,Significantly Overpriced,- 31.84,4,2,2.0,2,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0.0
İnnvista Belek Antalya,15966.4,10520.3,5446.1,Significantly Overpriced,- 34.11,3,3,-1.0,0,1,1,,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,750.0
Swissotel Resort Spa Çeşme,40600.6,14226.0,26374.6,Significantly Overpriced,- 64.96,3,3,2.0,1,1,1,,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0.0
The X Belek,19219.7,11714.0,7505.7,Significantly Overpriced,- 39.05,4,4,2.0,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,750.0
Mucho Butik Otel,8000.0,11390.9,-3390.9,Significantly Overpriced (Underpriced),+ 42.39,2,1,2.0,0,0,0,,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,300.0
