otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
Oscar Garden Hotel,11815.8,14,500.0,0.0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Antalya , Muratpaşa 
Otto Palace Boutique Hotel,16200.0,0,,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antalya , Adrasan 
The Luxury Shelters,21000.0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antalya , Kaş 
Toll Garden,13950.0,65,,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antalya , Side 
True Blue Boutique Hotel,26520.2,220,200.0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antalya , Kalkan 
Türkay Hotel,18000.0,0,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Antalya , Konyaaltı 
Hoyran Wedre Köy Evleri,29444.0,182,,0.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antalya , Demre 
Kadirs Tree Houses,16200.0,110,750.0,0.0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,Antalya , Olimpos 
La Boutique Hotel Suites,25258.8,15,0.0,0.0,1,1,0,1,1,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,Antalya , Lara 
Nostalgia World Otel,17640.0,80,100.0,0.0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Antalya , Side-Kızılot 
Patara Prince Resort,16053.9,120,0.0,1.0,3,1,3,3,3,1,0,5,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,Antalya , Kalkan 
Patron Hotel,9000.0,16,300.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antalya , Kaleiçi 
